strategies,round
9.450000000000001,67.0
9.450000000000001,67.0
9.450000000000001,67.0
9.450000000000001,67.0
9.450000000000001,67.0
9.450000000000001,67.0
9.450000000000001,67.0
9.450000000000001,67.0
9.450000000000001,67.0
9.450000000000001,67.0
9.450000000000001,68.0
9.450000000000001,68.0
9.450000000000001,68.0
9.44,68.0
9.44,68.0
9.44,68.0
9.44,68.0
9.44,68.0
9.44,68.0
9.44,68.0
9.44,68.0
9.44,68.0
9.44,68.0
9.44,68.0
9.44,68.0
9.44,68.0
9.44,68.0
9.44,68.0
9.44,68.0
9.44,68.0
9.44,69.0
9.43,69.0
9.43,69.0
9.43,69.0
9.43,69.0
9.43,69.0
9.43,69.0
9.43,69.0
9.43,69.0
9.43,69.0
9.43,69.0
9.43,69.0
9.43,69.0
9.43,69.0
9.43,69.0
9.43,69.0
9.43,69.0
9.43,69.0
9.43,69.0
9.42,69.0
9.42,70.0
9.42,70.0
9.42,70.0
9.42,70.0
9.42,70.0
9.42,70.0
9.42,70.0
9.42,70.0
9.42,70.0
9.42,70.0
9.42,70.0
9.42,70.0
9.42,70.0
9.42,70.0
9.42,70.0
9.42,70.0
9.42,70.0
9.41,70.0
9.41,70.0
9.41,70.0
9.41,71.0
9.41,71.0
9.41,71.0
9.41,71.0
9.41,71.0
9.41,71.0
9.41,71.0
9.41,71.0
9.41,71.0
9.41,71.0
9.41,71.0
9.41,71.0
9.41,71.0
9.41,71.0
9.41,71.0
9.4,71.0
9.4,71.0
9.4,71.0
9.4,71.0
9.4,71.0
9.4,72.0
9.4,72.0
9.4,72.0
9.4,72.0
9.4,72.0
9.4,72.0
9.4,72.0
9.4,72.0
9.4,72.0
9.4,72.0
9.4,72.0
9.4,72.0
9.4,72.0
9.39,72.0
9.39,72.0
9.39,72.0
9.39,72.0
9.39,72.0
9.39,72.0
9.39,72.0
9.39,73.0
9.39,73.0
9.39,73.0
9.39,73.0
9.39,73.0
9.39,73.0
9.39,73.0
9.39,73.0
9.39,73.0
9.39,73.0
9.39,73.0
9.38,73.0
9.38,73.0
9.38,73.0
9.38,73.0
9.38,73.0
9.38,73.0
9.38,73.0
9.38,73.0
9.38,73.0
9.38,74.0
9.38,74.0
9.38,74.0
9.38,74.0
9.38,74.0
9.38,74.0
9.38,74.0
9.38,74.0
9.38,74.0
9.370000000000001,74.0
9.370000000000001,74.0
9.370000000000001,74.0
9.370000000000001,74.0
9.370000000000001,74.0
9.370000000000001,74.0
9.370000000000001,74.0
9.370000000000001,74.0
9.370000000000001,74.0
9.370000000000001,74.0
9.370000000000001,74.0
9.370000000000001,75.0
9.370000000000001,75.0
9.370000000000001,75.0
9.370000000000001,75.0
9.370000000000001,75.0
9.370000000000001,75.0
9.370000000000001,75.0
9.36,75.0
9.36,75.0
9.36,75.0
9.36,75.0
9.36,75.0
9.36,75.0
9.36,75.0
9.36,75.0
9.36,75.0
9.36,75.0
9.36,75.0
9.36,75.0
9.36,75.0
9.36,76.0
9.36,76.0
9.36,76.0
9.36,76.0
9.36,76.0
9.35,76.0
9.35,76.0
9.35,76.0
9.35,76.0
9.35,76.0
9.35,76.0
9.35,76.0
9.35,76.0
9.35,76.0
9.35,76.0
9.35,76.0
9.35,76.0
9.35,76.0
9.35,76.0
9.35,76.0
9.35,77.0
9.35,77.0
9.35,77.0
9.34,77.0
9.34,77.0
9.34,77.0
9.34,77.0
9.34,77.0
9.34,77.0
9.34,77.0
9.34,77.0
9.34,77.0
9.34,77.0
9.34,77.0
9.34,77.0
9.34,77.0
9.34,77.0
9.34,77.0
9.34,77.0
9.34,77.0
9.34,78.0
9.33,78.0
9.33,78.0
9.33,78.0
9.33,78.0
9.33,78.0
9.33,78.0
9.33,78.0
9.33,78.0
9.33,78.0
9.33,78.0
9.33,78.0
9.33,78.0
9.33,78.0
9.33,78.0
9.33,78.0
9.33,78.0
9.33,78.0
9.33,78.0
9.32,78.0
9.32,79.0
9.32,79.0
9.32,79.0
9.32,79.0
9.32,79.0
9.32,79.0
9.32,79.0
9.32,79.0
9.32,79.0
9.32,79.0
9.32,79.0
9.32,79.0
9.32,79.0
9.32,79.0
9.32,79.0
9.32,79.0
9.32,79.0
9.31,79.0
9.31,79.0
9.31,79.0
9.31,80.0
9.31,80.0
9.31,80.0
9.31,80.0
9.31,80.0
9.31,80.0
9.31,80.0
9.31,80.0
9.31,80.0
9.31,80.0
9.31,80.0
9.31,80.0
9.31,80.0
9.31,80.0
9.31,80.0
9.3,80.0
9.3,80.0
9.3,80.0
9.3,80.0
9.3,80.0
9.3,81.0
9.3,81.0
9.3,81.0
9.3,81.0
9.3,81.0
9.3,81.0
9.3,81.0
9.3,81.0
9.3,81.0
9.3,81.0
9.3,81.0
9.3,81.0
9.3,81.0
9.290000000000001,81.0
9.290000000000001,81.0
9.290000000000001,81.0
9.290000000000001,81.0
9.290000000000001,81.0
9.290000000000001,81.0
9.290000000000001,81.0
9.290000000000001,82.0
9.290000000000001,82.0
9.290000000000001,82.0
